Gene	"Gene synonym"	Ensembl	"Gene description"	Uniprot	"Protein class"	"Biological process"	"Molecular function"	Evidence	"RNA tissue specificity"	Interactions	"Subcellular main location"
CRELD1	"AVSD2, CIRRIN"	ENSG00000163703	"Cysteine rich with EGF like domains 1"	Q96HD1	"Disease related genes, Enzymes, Human disease related genes, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins"		Isomerase	"Evidence at protein level"	"Low tissue specificity"	2	Cytosol
CRELD2	MGC11256	ENSG00000184164	"Cysteine rich with EGF like domains 2"	Q6UXH1	"Enzymes, Predicted intracellular proteins"		Isomerase	"Evidence at protein level"	"Low tissue specificity"	4	
CREM	hCREM-2	ENSG00000095794	"CAMP responsive element modulator"	Q03060	"Predicted intracellular proteins, Transcription factors"	"Biological rhythms, Differentiation, Spermatogenesis, Transcription, Transcription regulation"	"Activator, Developmental protein, DNA-binding, Repressor"	"Evidence at protein level"	"Tissue enhanced"	5	Nucleoplasm
CRHR2	"CRF-RB, CRF2, HM-CRF"	ENSG00000106113	"Corticotropin releasing hormone receptor 2"	Q13324	"G-protein coupled receptors, Predicted membrane proteins, Predicted secreted proteins"		"G-protein coupled receptor, Receptor, Transducer"	"Evidence at protein level"	"Tissue enriched"		"Plasma membrane"
CRIM1	S52	ENSG00000150938	"Cysteine rich transmembrane BMP regulator 1"	Q9NZV1	"Predicted intracellular proteins, Predicted membrane proteins, Transporters"			"Evidence at protein level"	"Tissue enhanced"		
CRIP1	CRIP	ENSG00000213145	"Cysteine rich protein 1"	P50238	"Plasma proteins, Predicted intracellular proteins"			"Evidence at protein level"	"Tissue enhanced"	1	"Nuclear speckles, Cytosol"
CRIP2	"CRP2, ESP1"	ENSG00000182809	"Cysteine rich protein 2"	P52943	"Predicted intracellular proteins"			"Evidence at protein level"	"Tissue enhanced"	4	Nucleoli
CRIPT	HSPC139	ENSG00000119878	"CXXC repeat containing interactor of PDZ3 domain"	Q9P021	"Disease related genes, Human disease related genes, Predicted intracellular proteins"	"mRNA processing, mRNA splicing"		"Evidence at protein level"	"Low tissue specificity"	6	"Nucleoli fibrillar center"
CRISPLD2	"DKFZP434B044, LCRISP2, LGL1"	ENSG00000103196	"Cysteine rich secretory protein LCCL domain containing 2"	Q9H0B8	"Predicted intracellular proteins, Predicted secreted proteins"			"Evidence at protein level"	"Low tissue specificity"		Vesicles
CRK		ENSG00000167193	"CRK proto-oncogene, adaptor protein"	P46108	"Predicted intracellular proteins"			"Evidence at protein level"	"Low tissue specificity"	158	"Plasma membrane"
CRKL		ENSG00000099942	"CRK like proto-oncogene, adaptor protein"	P46109	"Essential proteins, Plasma proteins, Predicted intracellular proteins"			"Evidence at protein level"	"Low tissue specificity"	89	Nucleoplasm
CRLF1	"CISS, CISS1, CLF, CLF-1"	ENSG00000006016	"Cytokine receptor like factor 1"	O75462	"Disease related genes, Human disease related genes, Predicted intracellular proteins, Predicted secreted proteins"		Receptor	"Evidence at protein level"	"Tissue enhanced"	40	
CRLF3	"CREME9, CYTOR4"	ENSG00000176390	"Cytokine receptor like factor 3"	Q8IUI8	"Plasma proteins, Predicted intracellular proteins"			"Evidence at protein level"	"Tissue enhanced"	29	"Plasma membrane, Cytosol"
CRLS1	"C20orf155, CLS1, dJ967N21.6, GCD10"	ENSG00000088766	"Cardiolipin synthase 1"	Q9UJA2	"Enzymes, Essential proteins, Metabolic proteins, Predicted membrane proteins"	"Lipid biosynthesis, Lipid metabolism, Phospholipid biosynthesis, Phospholipid metabolism"	Transferase	"Evidence at protein level"	"Tissue enhanced"	2	
CRNKL1	"CLF, Clf1, CRN, SYF3"	ENSG00000101343	"Crooked neck pre-mRNA splicing factor 1"	Q9BZJ0	"Essential proteins, Plasma proteins, Predicted intracellular proteins"	"mRNA processing, mRNA splicing"		"Evidence at protein level"	"Low tissue specificity"	69	
CRNN	"C1orf10, SEP53"	ENSG00000143536	Cornulin	Q9UBG3	"Disease related genes, Predicted intracellular proteins"			"Evidence at protein level"	"Tissue enhanced"	14	
CROCC	"CROCC1, ROLT, rootletin"	ENSG00000058453	"Ciliary rootlet coiled-coil, rootletin"	Q5TZA2	"Predicted intracellular proteins"	"Cell cycle, Cilium biogenesis/degradation"		"Evidence at protein level"	"Low tissue specificity"	5	"Centrosome, Basal body"
CROT	COT	ENSG00000005469	"Carnitine O-octanoyltransferase"	Q9UKG9	"Enzymes, Metabolic proteins, Plasma proteins, Predicted intracellular proteins, Transporters"	"Fatty acid metabolism, Lipid metabolism, Transport"	"Acyltransferase, Transferase"	"Evidence at protein level"	"Low tissue specificity"		Vesicles
CRPPA	"hCG_1745121, ISPD, Nip"	ENSG00000214960	"CDP-L-ribitol pyrophosphorylase A"	A4D126	"Disease related genes, Enzymes, Human disease related genes, Potential drug targets, Predicted intracellular proteins"		"Nucleotidyltransferase, Transferase"	"Evidence at protein level"	"Tissue enhanced"		"Nucleoli fibrillar center"
CRTAC1	"ASPIC1, CEP-68, FLJ10320"	ENSG00000095713	"Cartilage acidic protein 1"	Q9NQ79	"Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins"			"Evidence at protein level"	"Tissue enhanced"	6	
CRTAP	"CASP, LEPREL3, P3H5"	ENSG00000170275	"Cartilage associated protein"	O75718	"Disease related genes, Human disease related genes, Predicted secreted proteins"			"Evidence at protein level"	"Low tissue specificity"	24	"Intermediate filaments, Actin filaments, Cytosol"
CRTC1	"FLJ14027, KIAA0616, MECT1, TORC1"	ENSG00000105662	"CREB regulated transcription coactivator 1"	Q6UUV9	"Cancer-related genes, Disease related genes, Human disease related genes, Predicted intracellular proteins"	"Biological rhythms, Host-virus interaction, Transcription, Transcription regulation"	Activator	"Evidence at protein level"	"Tissue enhanced"	23	"Nuclear bodies, Plasma membrane, Cytosol"
CRTC2	TORC2	ENSG00000160741	"CREB regulated transcription coactivator 2"	Q53ET0	"Predicted intracellular proteins"	"Host-virus interaction, Transcription, Transcription regulation"	Activator	"Evidence at protein level"	"Low tissue specificity"	28	Nucleoplasm
CRTC3	FLJ21868	ENSG00000140577	"CREB regulated transcription coactivator 3"	Q6UUV7	"Cancer-related genes, Predicted intracellular proteins"	"Host-virus interaction, Transcription, Transcription regulation"	Activator	"Evidence at protein level"	"Low tissue specificity"	24	Nucleoplasm
CRY1	PHLL1	ENSG00000008405	"Cryptochrome circadian regulator 1"	Q16526	"Disease related genes, Human disease related genes, Predicted intracellular proteins"	"Biological rhythms, Sensory transduction, Transcription, Transcription regulation"	"Photoreceptor protein, Receptor, Repressor"	"Evidence at protein level"	"Low tissue specificity"	33	"Nucleoplasm, Nuclear membrane, Microtubules"
CRY2		ENSG00000121671	"Cryptochrome circadian regulator 2"	Q49AN0	"Predicted intracellular proteins"	"Biological rhythms, Sensory transduction, Transcription, Transcription regulation"	"Photoreceptor protein, Receptor, Repressor"	"Evidence at protein level"	"Low tissue specificity"	47	"Nuclear speckles"
CRYAB	"CRYA2, HSPB5"	ENSG00000109846	"Crystallin alpha B"	P02511	"Cancer-related genes, Disease related genes, Human disease related genes, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins, Transporters"		"Chaperone, Eye lens protein"	"Evidence at protein level"	"Tissue enhanced"	74	"Plasma membrane, Cytosol"
CRYBG1	"AIM1, ST4"	ENSG00000112297	"Crystallin beta-gamma domain containing 1"		"Predicted intracellular proteins"			"Evidence at protein level"	"Tissue enhanced"	2	"Nucleoplasm, Microtubules, Cytosol"
CRYBG3	DKFZp667G2110	ENSG00000080200	"Crystallin beta-gamma domain containing 3"	Q68DQ2	"Essential proteins, Predicted intracellular proteins"			"Evidence at protein level"	"Tissue enhanced"	9	"Plasma membrane"
CRYL1	"GDH, lambda-CRY, MGC149525, MGC149526"	ENSG00000165475	"Crystallin lambda 1"	Q9Y2S2	"Enzymes, Metabolic proteins, Plasma proteins, Predicted intracellular proteins"		Oxidoreductase	"Evidence at protein level"	"Tissue enhanced"		"Nucleoplasm, Nucleoli"
CRYM	DFNA40	ENSG00000103316	"Crystallin mu"	Q14894	"Disease related genes, Enzymes, Human disease related genes, Potential drug targets, Predicted intracellular proteins"		Oxidoreductase	"Evidence at protein level"	"Tissue enhanced"	3	Cytosol
CRYZ		ENSG00000116791	"Crystallin zeta"	Q08257	"Enzymes, Metabolic proteins, Plasma proteins, Predicted intracellular proteins"		"Oxidoreductase, RNA-binding"	"Evidence at protein level"	"Tissue enhanced"	5	Cytosol
CRYZL1	"4P11, QOH-1"	ENSG00000205758	"Crystallin zeta like 1"	O95825	"Predicted intracellular proteins"		Oxidoreductase	"Evidence at protein level"	"Low tissue specificity"	11	"Nucleoplasm, Cytosol"
CS		ENSG00000062485	"Citrate synthase"	O75390	"Citric acid cycle related proteins, Enzymes, Essential proteins, Metabolic proteins, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins"	"Tricarboxylic acid cycle"	Transferase	"Evidence at protein level"	"Tissue enhanced"	190	Mitochondria
CSAD	"CSD, PCAP"	ENSG00000139631	"Cysteine sulfinic acid decarboxylase"	Q9Y600	"Enzymes, Metabolic proteins, Plasma proteins, Predicted intracellular proteins"		"Decarboxylase, Lyase"	"Evidence at protein level"	"Low tissue specificity"	1	"Endoplasmic reticulum, Vesicles, Plasma membrane"
CSDC2	PIPPin	ENSG00000172346	"Cold shock domain containing C2"	Q9Y534	"Predicted intracellular proteins"	"mRNA processing"	RNA-binding	"Evidence at protein level"	"Tissue enhanced"	3	Nucleoplasm
CSDE1	"D1S155E, UNR"	ENSG00000009307	"Cold shock domain containing E1"	O75534	"Cancer-related genes, Plasma proteins, Predicted intracellular proteins"		RNA-binding	"Evidence at protein level"	"Tissue enhanced"	26	Cytosol
CSE1L	"CAS, CSE1, XPO2"	ENSG00000124207	"Chromosome segregation 1 like"	P55060	"Cancer-related genes, Essential proteins, Plasma proteins, Predicted intracellular proteins, Transporters"	"Protein transport, Transport"		"Evidence at protein level"	"Low tissue specificity"	61	Nucleoplasm
CSF1	"M-CSF, MCSF, MGC31930"	ENSG00000184371	"Colony stimulating factor 1"	P09603	"Cancer-related genes, Candidate cardiovascular disease genes, Disease related genes, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins, RAS pathway related proteins"	"Immunity, Inflammatory response, Innate immunity"	"Cytokine, Growth factor"	"Evidence at protein level"	"Low tissue specificity"	7	"Plasma membrane"
CSF1R	"C-FMS, CD115, CSFR, FMS"	ENSG00000182578	"Colony stimulating factor 1 receptor"	P07333	"Cancer-related genes, CD markers, Disease related genes, Enzymes, FDA approved drug targets, Human disease related genes, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins, RAS pathway related proteins, Transporters"	"Immunity, Inflammatory response, Innate immunity"	"Kinase, Receptor, Transferase, Tyrosine-protein kinase"	"Evidence at protein level"	"Tissue enhanced"	19	"Vesicles, Plasma membrane"
CSF2RB	"betaGMR, CD131, IL3RB, IL5RB"	ENSG00000100368	"Colony stimulating factor 2 receptor subunit beta"	P32927	"CD markers, Disease related genes, FDA approved drug targets, Human disease related genes, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins"		Receptor	"Evidence at protein level"	"Tissue enhanced"	17	"Golgi apparatus"
CSF3	"C17orf33, G-CSF, GCSF, MGC45931"	ENSG00000108342	"Colony stimulating factor 3"	P09919	"Cancer-related genes, Plasma proteins, Predicted secreted proteins"		"Cytokine, Growth factor"	"Evidence at protein level"	"Tissue enhanced"		
CSF3R	"CD114, GCSFR"	ENSG00000119535	"Colony stimulating factor 3 receptor"	Q99062	"Cancer-related genes, CD markers, Disease related genes, FDA approved drug targets, Human disease related genes, Predicted intracellular proteins, Predicted membrane proteins"	"Cell adhesion"	Receptor	"Evidence at protein level"	"Tissue enhanced"	7	
CSGALNACT1	"ChGn, CSGalNAcT-1, FLJ11264"	ENSG00000147408	"Chondroitin sulfate N-acetylgalactosaminyltransferase 1"	Q8TDX6	"Disease related genes, Enzymes, Human disease related genes, Metabolic proteins, Potential drug targets, Predicted intracellular proteins"		Transferase	"Evidence at protein level"	"Tissue enhanced"		Cytosol
CSGALNACT2	"GALNACT-2, GALNACT2, MGC40204, PRO0082"	ENSG00000169826	"Chondroitin sulfate N-acetylgalactosaminyltransferase 2"	Q8N6G5	"Enzymes, Metabolic proteins, Predicted intracellular proteins"		Transferase	"Evidence at protein level"	"Tissue enriched"	20	"Endoplasmic reticulum"
CSK		ENSG00000103653	"C-terminal Src kinase"	P41240	"Enzymes, Plasma proteins, Predicted intracellular proteins"	"Adaptive immunity, Immunity"	"Kinase, Transferase, Tyrosine-protein kinase"	"Evidence at protein level"	"Tissue enhanced"	49	"Vesicles, Cytosol"
CSNK1A1	"CK1, CK1a, CK1alpha, CKIa, CKIalpha"	ENSG00000113712	"Casein kinase 1 alpha 1"	P48729	"Enzymes, Essential proteins, Plasma proteins, Predicted intracellular proteins"	"Cell cycle, Cell division, Mitosis, Wnt signaling pathway"	"Kinase, Serine/threonine-protein kinase, Transferase"	"Evidence at protein level"	"Low tissue specificity"	127	Cytosol
CSNK1D	"CKID, CKIdelta, HCKID"	ENSG00000141551	"Casein kinase 1 delta"	P48730	"Disease related genes, Enzymes, Human disease related genes, Plasma proteins, Potential drug targets, Predicted intracellular proteins"	"Biological rhythms, Wnt signaling pathway"	"Kinase, Serine/threonine-protein kinase, Transferase"	"Evidence at protein level"	"Low tissue specificity"	80	"Plasma membrane, Cytosol"
CSNK1E	"CKIE, CKIepsilon, HCKIE"	ENSG00000213923	"Casein kinase 1 epsilon"	P49674	"Cancer-related genes, Enzymes, FDA approved drug targets, Predicted intracellular proteins, Predicted membrane proteins"	"Biological rhythms"	"Kinase, Serine/threonine-protein kinase, Transferase"	"Evidence at protein level"	"Low tissue specificity"	108	"Nucleoplasm, Cytosol"
CSNK1G1	CK1gamma1	ENSG00000169118	"Casein kinase 1 gamma 1"	Q9HCP0	"Enzymes, Predicted intracellular proteins, Predicted membrane proteins"	"Wnt signaling pathway"	"Kinase, Serine/threonine-protein kinase, Transferase"	"Evidence at protein level"	"Tissue enhanced"	8	Cytosol
CSNK1G2	CK1g2	ENSG00000133275	"Casein kinase 1 gamma 2"	P78368	"Enzymes, Metabolic proteins, Predicted intracellular proteins"	"Wnt signaling pathway"	"Kinase, Serine/threonine-protein kinase, Transferase"	"Evidence at protein level"	"Low tissue specificity"	31	Vesicles
CSNK1G3		ENSG00000151292	"Casein kinase 1 gamma 3"	Q9Y6M4	"Enzymes, Predicted intracellular proteins"	"Wnt signaling pathway"	"Kinase, Serine/threonine-protein kinase, Transferase"	"Evidence at protein level"	"Low tissue specificity"	17	
CSNK2A1	"Cka1, Cka2"	ENSG00000101266	"Casein kinase 2 alpha 1"	P68400	"Disease related genes, Enzymes, Human disease related genes, Potential drug targets, Predicted intracellular proteins"	"Apoptosis, Biological rhythms, Cell cycle, Transcription, Transcription regulation, Wnt signaling pathway"	"Kinase, Serine/threonine-protein kinase, Transferase"	"Evidence at protein level"	"Low tissue specificity"	621	Nucleoplasm
CSNK2A2	"CK2alpha', CSNK2A1"	ENSG00000070770	"Casein kinase 2 alpha 2"	P19784	"Cancer-related genes, Enzymes, Predicted intracellular proteins"	"Apoptosis, Cell cycle, Transcription, Transcription regulation, Wnt signaling pathway"	"Kinase, Serine/threonine-protein kinase, Transferase"	"Evidence at protein level"	"Tissue enhanced"	467	
CSNK2A3	CSNK2A1P	ENSG00000254598	"Casein kinase 2 alpha 3"	Q8NEV1	"Enzymes, Predicted intracellular proteins"		"Kinase, Serine/threonine-protein kinase, Transferase"	"Evidence at protein level"	"Tissue enhanced"	3	Nucleoplasm
CSNK2B	"Ckb1, Ckb2"	ENSG00000204435	"Casein kinase 2 beta"	P67870	"Cancer-related genes, Disease related genes, Essential proteins, Plasma proteins, Predicted intracellular proteins"	"Wnt signaling pathway"		"Evidence at protein level"	"Low tissue specificity"	399	Nucleoplasm
CSPG4	"CSPG4A, HMW-MAA, MCSP, MCSPG, MEL-CSPG, MSK16, NG2"	ENSG00000173546	"Chondroitin sulfate proteoglycan 4"	Q6UVK1	"Predicted membrane proteins"	"Angiogenesis, Differentiation, Tissue remodeling"	"Developmental protein, Transducer"	"Evidence at protein level"	"Tissue enhanced"	30	"Plasma membrane"
CSPP1	"CSPP, CSPP-L, FLJ22490, JBTS21"	ENSG00000104218	"Centrosome and spindle pole associated protein 1"	Q1MSJ5	"Disease related genes, Human disease related genes, Predicted intracellular proteins"			"Evidence at protein level"	"Low tissue specificity"	10	"Centriolar satellite, Centrosome, Basal body"
CSRNP1	"AXUD1, DKFZp566F164, FAM130B, TAIP-3, URAX1"	ENSG00000144655	"Cysteine and serine rich nuclear protein 1"	Q96S65	"Predicted intracellular proteins, Transcription factors"	"Apoptosis, Transcription, Transcription regulation"	"Activator, DNA-binding"	"Evidence at protein level"	"Tissue enhanced"	17	Nucleoplasm
CSRNP2	"C12ORF2, C12orf22, FAM130A1, PPP1R72, TAIP-12"	ENSG00000110925	"Cysteine and serine rich nuclear protein 2"	Q9H175	"Predicted intracellular proteins, Transcription factors"	"Apoptosis, Transcription, Transcription regulation"	"Activator, DNA-binding"	"Evidence at protein level"	"Low tissue specificity"	7	"Nuclear speckles"
